entry_time,exit_time,side,oz,entry_px,exit_px,entry_reason,exit_reason,gross_pnl,costs,net_pnl,bars_held
2023-09-29 14:15:00+00:00,2023-09-29 20:35:00+00:00,long,1.0,1878.66,1849.08,signal,signal,-29.580000000000155,0.16,-29.74000000000015,76
2023-10-04 13:20:00+00:00,2023-10-04 20:15:00+00:00,long,1.0,1827.92,1818.8,signal,signal,-9.120000000000118,0.16,-9.280000000000118,83
2023-10-05 00:05:00+00:00,2023-10-05 04:45:00+00:00,long,1.0,1822.44,1828.46,signal,signal,6.019999999999982,0.16,5.859999999999982,56
2023-10-06 16:15:00+00:00,2023-10-06 20:35:00+00:00,long,1.0,1829.86,1830.44,signal,signal,0.5800000000001546,0.16,0.42000000000015464,52
2023-10-09 00:05:00+00:00,2023-10-09 00:15:00+00:00,long,1.0,1847.44,1848.2,signal,signal,0.7599999999999909,0.16,0.599999999999991,2
2023-10-09 18:45:00+00:00,2023-10-09 20:45:00+00:00,long,1.0,1854.96,1863.26,signal,signal,8.299999999999955,0.16,8.139999999999954,24
2023-10-10 00:05:00+00:00,2023-10-10 02:45:00+00:00,long,1.0,1860.69,1864.36,signal,signal,3.6699999999998454,0.16,3.5099999999998452,32
2023-10-13 13:00:00+00:00,2023-10-13 19:55:00+00:00,long,1.0,1896.48,1927.97,signal,signal,31.49000000000001,0.16,31.330000000000013,83
2023-10-16 13:25:00+00:00,2023-10-16 20:20:00+00:00,long,1.0,1923.42,1919.03,signal,signal,-4.3900000000001,0.16,-4.5500000000001,83
2023-10-17 13:15:00+00:00,2023-10-17 20:10:00+00:00,long,1.0,1926.33,1923.42,signal,signal,-2.9099999999998545,0.16,-3.0699999999998546,83
2023-10-18 13:05:00+00:00,2023-10-18 20:00:00+00:00,long,1.0,1948.37,1950.6,signal,signal,2.230000000000018,0.16,2.070000000000018,83
2023-10-19 18:25:00+00:00,2023-10-19 20:45:00+00:00,long,1.0,1966.79,1977.38,signal,signal,10.590000000000146,0.16,10.430000000000145,28
2023-10-20 00:05:00+00:00,2023-10-20 02:25:00+00:00,long,1.0,1973.17,1974.5,signal,signal,1.3299999999999272,0.16,1.169999999999927,28
2023-10-20 15:05:00+00:00,2023-10-20 20:35:00+00:00,long,1.0,1987.36,1980.76,signal,signal,-6.599999999999909,0.16,-6.759999999999909,66
2023-10-24 17:35:00+00:00,2023-10-24 20:45:00+00:00,long,1.0,1974.01,1971.82,signal,signal,-2.1900000000000546,0.16,-2.3500000000000547,38
2023-10-25 00:05:00+00:00,2023-10-25 01:35:00+00:00,long,1.0,1970.69,1975.16,signal,signal,4.470000000000027,0.16,4.310000000000027,18
2023-10-25 14:55:00+00:00,2023-10-25 20:45:00+00:00,long,1.0,1986.4,1981.45,signal,signal,-4.9500000000000455,0.16,-5.110000000000046,70
2023-10-27 18:35:00+00:00,2023-10-27 20:35:00+00:00,long,1.0,1991.6,2007.35,signal,signal,15.75,0.16,15.59,24
2023-10-30 00:05:00+00:00,2023-10-30 02:35:00+00:00,long,1.0,2001.56,2003.1,signal,signal,1.5399999999999636,0.16,1.3799999999999635,30
2023-11-03 13:35:00+00:00,2023-11-03 20:30:00+00:00,long,1.0,1999.83,1993.4,signal,signal,-6.429999999999836,0.16,-6.589999999999836,83
2023-11-09 14:45:00+00:00,2023-11-09 20:45:00+00:00,long,1.0,1956.28,1957.88,signal,signal,1.6000000000001364,0.16,1.4400000000001363,72
2023-11-13 16:35:00+00:00,2023-11-13 20:45:00+00:00,long,1.0,1945.24,1946.39,signal,signal,1.150000000000091,0.16,0.9900000000000909,50
2023-11-14 00:05:00+00:00,2023-11-14 00:35:00+00:00,long,1.0,1946.41,1946.8,signal,signal,0.38999999999987267,0.16,0.22999999999987264,6
2023-11-14 13:35:00+00:00,2023-11-14 20:30:00+00:00,long,1.0,1956.96,1964.2,signal,signal,7.240000000000009,0.16,7.080000000000009,83
2023-11-16 13:35:00+00:00,2023-11-16 20:30:00+00:00,long,1.0,1971.89,1981.54,signal,signal,9.649999999999864,0.16,9.489999999999863,83
2023-11-20 18:05:00+00:00,2023-11-20 20:45:00+00:00,long,1.0,1978.06,1977.82,signal,signal,-0.2400000000000091,0.16,-0.4000000000000091,32
2023-11-21 00:05:00+00:00,2023-11-21 02:05:00+00:00,long,1.0,1981.22,1990.45,signal,signal,9.230000000000018,0.16,9.070000000000018,24
2023-11-21 13:25:00+00:00,2023-11-21 20:20:00+00:00,long,1.0,1996.03,1999.14,signal,signal,3.1100000000001273,0.16,2.950000000000127,83
2023-11-24 13:40:00+00:00,2023-11-26 23:05:00+00:00,long,1.0,2001.6,2001.37,signal,session,-0.2300000000000182,0.16,-0.3900000000000182,62
2023-11-27 00:05:00+00:00,2023-11-27 00:50:00+00:00,long,1.0,2002.57,2002.12,signal,signal,-0.4500000000000455,0.16,-0.6100000000000454,9
