fold,window,signature,long,short,exit,train_sharpe,test_pnl,test_sharpe,test_maxdd,test_trades,conflicts
f1,2024-03-07->2024-09-06,"{""exit"": ""none"", ""long"": {""direction"": ""high"", ""factor"": ""plus_di_14"", ""hold"": 12, ""regime"": ""trend_not_choppy"", ""session"": ""new_york"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 6048}, ""short"": {""direction"": ""low"", ""factor"": ""rsi_14"", ""hold"": 84, ""regime"": ""trend_adx"", ""session"": ""all"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 2016}}",long:plus_di_14:W6048:T1.5:H12:trend_not_choppy:new_york,short:rsi_14:W2016:T2:H84:trend_adx:all,none,4.58,-105.99,-1.774,-108.47,136,0
f2,2024-09-08->2025-03-07,"{""exit"": ""stop2_5"", ""long"": {""direction"": ""high"", ""factor"": ""aroon_up_25"", ""hold"": 84, ""regime"": ""none"", ""session"": ""new_york"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 6048}, ""short"": {""direction"": ""low"", ""factor"": ""rsi_14"", ""hold"": 84, ""regime"": ""trend"", ""session"": ""all"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 6048}}",long:aroon_up_25:W6048:T1.5:H84:none:new_york,short:rsi_14:W6048:T2:H84:trend:all,stop2_5,2.445,-24.25,-3.518,-30.09,5,0
f3,2025-03-09->2025-09-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 84, ""regime"": ""none"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 2016}, ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 12, ""regime"": ""trend_not_choppy"", ""session"": ""new_york"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 2016}}",long:natr_14:W2016:T1.5:H84:none:all,short:close_vs_ema200:W2016:T2:H12:trend_not_choppy:new_york,none,2.69,16.63,0.163,-203.01,107,0
f4,2025-09-07->2026-03-09,"{""exit"": ""none"", ""long"": {""direction"": ""high"", ""factor"": ""di_ratio"", ""hold"": 84, ""regime"": ""none"", ""session"": ""london"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 6048}, ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 12, ""regime"": ""trend_not_choppy"", ""session"": ""new_york"", ""side"": ""short"", ""threshold"": 1.5, ""window"": 2016}}",long:di_ratio:W6048:T1.5:H84:none:london,short:close_vs_ema200:W2016:T1.5:H12:trend_not_choppy:new_york,none,2.643,571.52,1.649,-263.56,159,0
