fold,window,signature,long,short,exit,train_sharpe,test_pnl,test_sharpe,test_maxdd,test_trades,conflicts
f1,2024-03-07->2024-09-06,"{""exit"": ""none"", ""long"": {""direction"": ""high"", ""factor"": ""bb_squeeze"", ""hold"": 4, ""regime"": ""trend_adx"", ""session"": ""new_york"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 28, ""regime"": ""trend_adx"", ""session"": ""all"", ""side"": ""short"", ""threshold"": 1.5, ""window"": 2016}}",long:bb_squeeze:W672:T1.5:H4:trend_adx:new_york,short:close_vs_ema200:W2016:T1.5:H28:trend_adx:all,none,7.386,-70.86,-0.914,-131.31,84,0
f2,2024-09-08->2025-03-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""atr_28_pct"", ""hold"": 28, ""regime"": ""trend"", ""session"": ""london"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 2016}, ""short"": {""direction"": ""low"", ""factor"": ""rsi_14"", ""hold"": 4, ""regime"": ""none"", ""session"": ""overlap"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",long:atr_28_pct:W2016:T1.5:H28:trend:london,short:rsi_14:W672:T2:H4:none:overlap,none,4.838,-50.7,-1.631,-84.28,35,0
f3,2025-03-09->2025-09-07,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 28, ""regime"": ""none"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""short"": {""direction"": ""high"", ""factor"": ""close_vs_ema200"", ""hold"": 28, ""regime"": ""trend_adx"", ""session"": ""overlap"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",long:natr_14:W672:T1.5:H28:none:all,short:close_vs_ema200:W672:T2:H28:trend_adx:overlap,none,3.903,24.62,0.256,-179.33,58,0
f4,2025-09-07->2026-03-09,"{""exit"": ""none"", ""long"": {""direction"": ""low"", ""factor"": ""natr_14"", ""hold"": 28, ""regime"": ""trend_not_choppy"", ""session"": ""all"", ""side"": ""long"", ""threshold"": 1.5, ""window"": 672}, ""short"": {""direction"": ""low"", ""factor"": ""aroon_down_25"", ""hold"": 28, ""regime"": ""none"", ""session"": ""all"", ""side"": ""short"", ""threshold"": 2.0, ""window"": 672}}",long:natr_14:W672:T1.5:H28:trend_not_choppy:all,short:aroon_down_25:W672:T2:H28:none:all,none,4.205,407.37,1.449,-252.98,42,2
