kind,factor,side,win,thr,hold,spec,res_sharpe,res_pnl,res_trades,res_avg,res_pf,res_maxdd,f1_train_sharpe,f1_train_trades,f1_train_avg,f1_test_sharpe,f1_test_pnl,f1_test_trades,f1_test_avg,f1_test_pf,f2_train_sharpe,f2_train_trades,f2_train_avg,f2_test_sharpe,f2_test_pnl,f2_test_trades,f2_test_avg,f2_test_pf,f3_train_sharpe,f3_train_trades,f3_train_avg,f3_test_sharpe,f3_test_pnl,f3_test_trades,f3_test_avg,f3_test_pf,f4_train_sharpe,f4_train_trades,f4_train_avg,f4_test_sharpe,f4_test_pnl,f4_test_trades,f4_test_avg,f4_test_pf
single,plus_di_14,long,6048,2.0,36,single|plus_di_14|long|W6048|T2|H36,1.52,96202.0,884,108.83,1.302,-19368.0,0.35,181,11.35,-1.22,-11166.0,185,-60.36,0.827,-0.6,366,-24.89,0.79,6294.0,184,34.21,1.122,-0.12,550,-5.12,3.85,46934.0,170,276.08,1.852,1.22,720,61.27,2.4,52085.0,164,317.59,1.509
single,plus_di_14,long,6048,2.0,84,single|plus_di_14|long|W6048|T2|H84,1.87,152367.0,717,212.51,1.442,-26649.0,0.23,146,11.11,0.34,3848.0,149,25.83,1.059,0.29,295,18.54,0.71,7491.0,150,49.94,1.113,0.44,445,29.13,3.76,58444.0,136,429.74,1.962,1.55,581,122.9,2.87,80962.0,136,595.31,1.757
single,plus_di_14,long,6048,2.0,120,single|plus_di_14|long|W6048|T2|H120,2.07,183325.0,645,284.22,1.528,-32160.0,1.19,130,70.22,0.74,8889.0,135,65.84,1.138,0.9,265,67.99,1.55,17585.0,131,134.24,1.281,1.13,396,89.9,4.07,68106.0,127,536.27,2.165,2.1,523,198.29,2.57,79617.0,122,652.6,1.668
single,plus_di_14,short,6048,2.0,24,single|plus_di_14|short|W6048|T2|H24,-1.09,-72134.0,331,-217.93,0.658,-101742.0,0.31,46,19.93,0.98,5228.0,70,74.69,1.312,0.71,116,52.97,-0.54,-3091.0,80,-38.64,0.901,0.21,196,15.58,-0.96,-6684.0,53,-126.11,0.717,-0.17,249,-14.58,-2.48,-68504.0,82,-835.41,0.471
single,plus_di_14,short,6048,2.0,36,single|plus_di_14|short|W6048|T2|H36,-1.32,-94124.0,319,-295.06,0.61,-111495.0,-0.97,45,-73.91,0.63,3701.0,68,54.43,1.199,0.04,113,3.32,-0.74,-4749.0,75,-63.32,0.871,-0.27,188,-23.27,-0.7,-5718.0,53,-107.89,0.817,-0.41,241,-41.88,-2.84,-84032.0,78,-1077.33,0.404
single,plus_di_14,short,6048,2.0,84,single|plus_di_14|short|W6048|T2|H84,-0.7,-61200.0,288,-212.5,0.797,-80471.0,-1.97,42,-204.81,-0.35,-2671.0,62,-43.08,0.915,-0.92,104,-108.39,-0.33,-2581.0,67,-38.52,0.93,-0.68,171,-81.02,-0.2,-2072.0,48,-43.17,0.936,-0.51,219,-72.72,-1.26,-45274.0,69,-656.14,0.745
single,plus_di_14,short,6048,2.0,120,single|plus_di_14|short|W6048|T2|H120,-0.54,-52374.0,273,-191.85,0.818,-88820.0,-1.51,41,-181.02,0.4,3224.0,59,54.64,1.102,-0.31,100,-41.98,-0.77,-6730.0,62,-108.55,0.818,-0.49,162,-67.46,0.2,2352.0,46,51.13,1.072,-0.25,208,-41.23,-1.11,-43798.0,65,-673.82,0.725
single,plus_di_14,long,8640,1.25,24,single|plus_di_14|long|W8640|T1.25|H24,1.32,109702.0,2110,51.99,1.17,-33790.0,1.5,388,25.28,-1.41,-14741.0,429,-34.36,0.866,-0.28,817,-6.04,2.15,20738.0,452,45.88,1.225,0.58,1269,12.45,3.92,59017.0,426,138.54,1.469,1.72,1695,44.14,1.15,34880.0,415,84.05,1.136
single,plus_di_14,long,8640,1.25,36,single|plus_di_14|long|W8640|T1.25|H36,0.88,84133.0,1788,47.05,1.121,-58814.0,-0.04,335,-0.84,-0.58,-6826.0,358,-19.07,0.938,-0.36,693,-10.26,1.69,18206.0,380,47.91,1.187,0.37,1073,10.34,3.95,65563.0,354,185.21,1.533,1.59,1427,53.72,0.21,7472.0,361,20.7,1.025
single,plus_di_14,long,8640,1.25,84,single|plus_di_14|long|W8640|T1.25|H84,1.11,128540.0,1219,105.45,1.187,-61128.0,1.0,222,38.61,0.56,7740.0,245,31.59,1.074,0.71,467,34.93,1.11,14875.0,256,58.11,1.138,0.86,723,43.13,2.69,54427.0,247,220.35,1.386,1.47,970,88.26,1.0,42927.0,249,172.4,1.16
single,plus_di_14,long,8640,1.25,120,single|plus_di_14|long|W8640|T1.25|H120,1.97,237871.0,1020,233.21,1.386,-53634.0,1.75,183,82.14,0.46,6665.0,209,31.89,1.063,0.91,392,55.35,2.12,29526.0,212,139.27,1.295,1.36,604,84.8,3.93,82947.0,207,400.71,1.681,2.21,811,165.44,2.3,103702.0,209,496.18,1.44
single,plus_di_14,short,8640,1.25,24,single|plus_di_14|short|W8640|T1.25|H24,-0.36,-40492.0,1832,-22.1,0.948,-95237.0,-0.13,278,-2.72,-2.72,-30373.0,407,-74.63,0.75,-1.77,685,-45.44,-1.57,-16482.0,395,-41.73,0.859,-1.69,1080,-44.08,-0.4,-6333.0,362,-17.49,0.956,-1.19,1442,-37.41,0.3,13451.0,390,34.49,1.039
single,plus_di_14,short,8640,1.25,36,single|plus_di_14|short|W8640|T1.25|H36,-0.12,-14828.0,1564,-9.48,0.981,-63353.0,-0.32,239,-8.08,-2.02,-25035.0,346,-72.36,0.809,-1.39,585,-46.1,-2.25,-25544.0,337,-75.8,0.799,-1.7,922,-56.95,0.26,4578.0,312,14.67,1.032,-0.97,1234,-38.84,0.68,33104.0,330,100.32,1.102
single,plus_di_14,short,8640,1.25,84,single|plus_di_14|short|W8640|T1.25|H84,-0.19,-25629.0,1085,-23.62,0.965,-101296.0,-0.15,166,-6.69,-2.37,-33625.0,240,-140.1,0.744,-1.54,406,-85.56,-2.11,-28532.0,243,-117.42,0.772,-1.75,649,-97.49,-0.55,-10978.0,213,-51.54,0.928,-1.29,862,-86.13,0.94,48617.0,223,218.01,1.183
single,plus_di_14,short,8640,1.25,120,single|plus_di_14|short|W8640|T1.25|H120,-0.56,-78138.0,934,-83.66,0.898,-117851.0,-1.1,148,-59.29,-1.47,-21793.0,203,-107.35,0.817,-1.3,351,-87.09,-2.09,-29004.0,203,-142.88,0.756,-1.59,554,-107.53,0.74,15539.0,182,85.38,1.117,-0.73,736,-59.83,-0.62,-34105.0,198,-172.25,0.899
single,plus_di_14,long,8640,1.5,24,single|plus_di_14|long|W8640|T1.5|H24,1.34,96253.0,1681,57.26,1.189,-22459.0,2.05,310,40.18,-1.93,-18442.0,349,-52.84,0.802,-0.38,659,-9.08,1.0,8775.0,361,24.31,1.115,0.11,1020,2.73,3.3,45420.0,335,135.58,1.449,1.22,1355,35.58,1.89,48044.0,326,147.37,1.257
single,plus_di_14,long,8640,1.5,36,single|plus_di_14|long|W8640|T1.5|H36,1.11,92894.0,1456,63.8,1.168,-30570.0,0.37,270,9.23,-1.87,-20449.0,303,-67.49,0.801,-0.99,573,-31.34,0.57,5685.0,307,18.52,1.068,-0.44,880,-13.95,3.79,57592.0,281,204.95,1.595,1.02,1161,39.03,1.57,47575.0,295,161.27,1.228
single,plus_di_14,long,8640,1.5,84,single|plus_di_14|long|W8640|T1.5|H84,1.27,134661.0,1057,127.4,1.23,-38204.0,0.36,194,14.93,0.24,3149.0,216,14.58,1.033,0.28,410,14.75,1.53,19347.0,219,88.34,1.221,0.74,629,40.37,2.65,50009.0,211,237.01,1.402,1.38,840,89.76,1.53,59259.0,217,273.08,1.271
single,plus_di_14,long,8640,1.5,120,single|plus_di_14|long|W8640|T1.5|H120,2.19,240162.0,905,265.37,1.466,-37506.0,1.47,167,73.35,0.1,1322.0,193,6.85,1.014,0.6,360,37.7,3.04,39167.0,180,217.59,1.54,1.48,540,97.66,3.62,72453.0,184,393.77,1.652,2.19,724,172.92,2.87,114970.0,181,635.19,1.618
