factor,win,thr,long_when,hold,is_sharpe,is_pnl,is_trades,is_avg_usd,is_pf,is_maxdd,oos_sharpe,oos_pnl,oos_trades,oos_avg_usd,oos_pf,all_trades,all_pnl,all_avg_usd,all_pf
choppiness_14,6048,2.5,high,12,-1.51,-31866.0,427,-74.63,0.735,-36722.0,-0.2,-6646.0,190,-34.98,0.95,617,-38512.0,-62.42,0.848
choppiness_14,6048,2.5,high,84,-0.99,-39019.0,355,-109.91,0.798,-50425.0,-0.14,-7923.0,156,-50.79,0.966,511,-46942.0,-91.86,0.889
choppiness_14,6048,2.5,low,12,0.86,18202.0,427,42.63,1.192,-13428.0,0.02,566.0,190,2.98,1.004,617,18768.0,30.42,1.084
choppiness_14,6048,2.5,low,84,0.7,27659.0,355,77.91,1.174,-19915.0,0.05,2931.0,156,18.79,1.013,511,30590.0,59.86,1.079
candle_body_pct,2016,1.5,high,12,-1.88,-120975.0,6599,-18.38,0.905,-124485.0,-1.22,-104988.0,2840,-36.86,0.934,9439,-225963.0,-23.94,0.921
candle_body_pct,2016,1.5,high,84,0.39,30522.0,1610,19.81,1.043,-53489.0,-0.75,-80416.0,691,-118.35,0.921,2301,-49894.0,-21.68,0.972
candle_body_pct,2016,1.5,low,12,-1.4,-90177.0,6599,-13.62,0.928,-118758.0,0.16,14092.0,2840,4.86,1.009,9439,-76085.0,-8.06,0.973
candle_body_pct,2016,1.5,low,84,-1.05,-82026.0,1610,-51.81,0.895,-139483.0,0.55,58288.0,691,86.35,1.061,2301,-23738.0,-10.32,0.987
candle_body_pct,6048,1.5,high,12,-1.18,-75649.0,6493,-11.7,0.938,-78349.0,-1.95,-168697.0,2841,-59.27,0.896,9334,-244346.0,-26.18,0.914
candle_body_pct,6048,1.5,high,84,0.47,36522.0,1588,23.86,1.052,-61040.0,-1.04,-111046.0,692,-162.45,0.895,2280,-74524.0,-32.69,0.958
candle_body_pct,6048,1.5,low,12,-2.07,-132111.0,6493,-20.3,0.895,-149969.0,0.9,77769.0,2841,27.27,1.052,9334,-54342.0,-5.82,0.98
candle_body_pct,6048,1.5,low,84,-1.12,-87322.0,1588,-55.86,0.888,-151692.0,0.83,88886.0,692,130.45,1.093,2280,1564.0,0.69,1.001
upper_shadow_pct,2016,1.5,high,12,0.64,38682.0,5957,6.49,1.036,-32678.0,-1.51,-125089.0,2592,-48.26,0.913,8549,-86407.0,-10.11,0.965
upper_shadow_pct,2016,1.5,high,84,1.62,125310.0,1598,77.2,1.18,-30713.0,-0.82,-86271.0,689,-122.38,0.918,2287,39039.0,17.07,1.023
upper_shadow_pct,2016,1.5,low,12,-3.78,-229306.0,5957,-38.49,0.809,-237941.0,0.51,42145.0,2592,16.26,1.031,8549,-187161.0,-21.89,0.927
upper_shadow_pct,2016,1.5,low,84,-2.28,-176430.0,1598,-109.2,0.792,-186030.0,0.61,64207.0,689,90.38,1.065,2287,-112223.0,-49.07,0.937
upper_shadow_pct,2016,2.5,high,12,0.42,13369.0,1726,7.75,1.044,-23169.0,-0.46,-21760.0,760,-28.63,0.948,2486,-8391.0,-3.38,0.988
upper_shadow_pct,2016,2.5,high,84,1.28,76641.0,977,78.45,1.186,-27464.0,-0.42,-34896.0,418,-83.48,0.939,1395,41745.0,29.92,1.042
upper_shadow_pct,2016,2.5,low,12,-2.17,-68601.0,1726,-39.75,0.803,-75460.0,-0.05,-2560.0,760,-3.37,0.994,2486,-71161.0,-28.62,0.906
upper_shadow_pct,2016,2.5,low,84,-1.81,-107905.0,977,-110.45,0.786,-122575.0,0.26,21520.0,418,51.48,1.039,1395,-86385.0,-61.92,0.918
upper_shadow_pct,6048,1.5,high,12,0.45,27151.0,5895,4.61,1.025,-46593.0,-1.7,-139703.0,2601,-53.71,0.902,8496,-112552.0,-13.25,0.955
upper_shadow_pct,6048,1.5,high,84,1.63,125023.0,1572,78.29,1.181,-32902.0,-0.57,-60094.0,689,-84.39,0.942,2261,64929.0,28.72,1.038
upper_shadow_pct,6048,1.5,low,12,-3.58,-215791.0,5895,-36.61,0.82,-223576.0,0.69,56471.0,2601,21.71,1.042,8496,-159320.0,-18.75,0.937
upper_shadow_pct,6048,1.5,low,84,-2.29,-175311.0,1572,-110.29,0.792,-180730.0,0.36,38030.0,689,52.39,1.038,2261,-137281.0,-60.72,0.923
upper_shadow_pct,6048,2.5,high,12,0.23,7208.0,1686,4.28,1.024,-19886.0,-0.43,-20388.0,764,-26.69,0.95,2450,-13180.0,-5.38,0.981
upper_shadow_pct,6048,2.5,high,84,1.01,59608.0,962,61.96,1.143,-32649.0,-0.78,-64663.0,417,-155.07,0.892,1379,-5055.0,-3.67,0.995
upper_shadow_pct,6048,2.5,low,12,-1.96,-61160.0,1686,-36.28,0.819,-66436.0,-0.09,-4060.0,764,-5.31,0.99,2450,-65220.0,-26.62,0.912
upper_shadow_pct,6048,2.5,low,84,-1.53,-90392.0,962,-93.96,0.817,-107372.0,0.62,51319.0,417,123.07,1.095,1379,-39073.0,-28.33,0.962
