factor,win,thr,long_when,hold,is_sharpe,is_pnl,is_trades,is_avg_usd,is_pf,is_maxdd,oos_sharpe,oos_pnl,oos_trades,oos_avg_usd,oos_pf,all_trades,all_pnl,all_avg_usd,all_pf
choppiness_14,2016,2.5,high,4,-0.54,-58.0,151,-0.38,0.851,-143.0,-1.71,-274.0,68,-4.02,0.527,219,-331.0,-1.51,0.657
choppiness_14,2016,2.5,high,28,-0.99,-209.0,125,-1.67,0.72,-252.0,-2.95,-736.0,58,-12.68,0.301,183,-945.0,-5.16,0.475
choppiness_14,2016,2.5,low,4,0.09,9.0,151,0.06,1.027,-123.0,1.58,252.0,68,3.7,1.799,219,261.0,1.19,1.391
choppiness_14,2016,2.5,low,28,0.8,169.0,125,1.35,1.303,-142.0,2.87,717.0,58,12.36,3.226,183,886.0,4.84,2.005
candle_body_pct,672,1.5,high,4,-1.63,-639.0,3042,-0.21,0.888,-770.0,-1.82,-954.0,1334,-0.72,0.854,4376,-1593.0,-0.36,0.87
candle_body_pct,672,1.5,high,28,-0.15,-89.0,1187,-0.06,0.985,-548.0,-2.75,-2013.0,508,-3.99,0.686,1695,-2102.0,-1.24,0.819
candle_body_pct,672,1.5,low,4,-0.85,-335.0,3042,-0.11,0.939,-604.0,1.0,527.0,1334,0.4,1.092,4376,192.0,0.04,1.017
candle_body_pct,672,1.5,low,28,-0.5,-291.0,1187,-0.26,0.943,-456.0,2.53,1850.0,508,3.67,1.415,1695,1559.0,0.92,1.16
candle_body_pct,2016,1.5,high,4,-1.23,-478.0,3020,-0.16,0.914,-658.0,-1.05,-550.0,1340,-0.41,0.912,4360,-1028.0,-0.24,0.913
candle_body_pct,2016,1.5,high,28,-0.18,-105.0,1172,-0.08,0.982,-609.0,-2.02,-1482.0,507,-2.95,0.76,1679,-1586.0,-0.94,0.86
candle_body_pct,2016,1.5,low,4,-1.26,-489.0,3020,-0.16,0.912,-683.0,0.23,122.0,1340,0.09,1.021,4360,-367.0,-0.08,0.968
candle_body_pct,2016,1.5,low,28,-0.47,-270.0,1172,-0.24,0.946,-420.0,1.8,1319.0,507,2.63,1.278,1679,1049.0,0.62,1.105
upper_shadow_pct,672,1.5,high,4,0.07,25.0,2577,0.01,1.006,-275.0,0.32,127.0,1096,0.12,1.03,3673,151.0,0.04,1.018
upper_shadow_pct,672,1.5,high,28,1.16,634.0,1084,0.59,1.149,-255.0,0.27,174.0,473,0.36,1.036,1557,808.0,0.52,1.09
upper_shadow_pct,672,1.5,low,4,-2.49,-850.0,2577,-0.33,0.819,-970.0,-1.2,-477.0,1096,-0.44,0.895,3673,-1327.0,-0.36,0.857
upper_shadow_pct,672,1.5,low,28,-1.79,-981.0,1084,-0.91,0.807,-1129.0,-0.5,-325.0,473,-0.68,0.936,1557,-1306.0,-0.84,0.871
upper_shadow_pct,672,2.5,high,4,0.33,49.0,527,0.09,1.059,-94.0,-0.17,-31.0,228,-0.14,0.966,755,18.0,0.02,1.01
upper_shadow_pct,672,2.5,high,28,0.56,181.0,406,0.44,1.114,-306.0,-0.5,-204.0,179,-1.14,0.895,585,-23.0,-0.04,0.993
upper_shadow_pct,672,2.5,low,4,-1.44,-218.0,527,-0.41,0.776,-264.0,-0.23,-41.0,228,-0.18,0.956,755,-260.0,-0.34,0.864
upper_shadow_pct,672,2.5,low,28,-0.96,-311.0,406,-0.76,0.831,-454.0,0.36,147.0,179,0.82,1.083,585,-164.0,-0.28,0.955
upper_shadow_pct,2016,1.5,high,4,-0.04,-14.0,2515,-0.01,0.997,-270.0,0.16,64.0,1097,0.06,1.015,3612,50.0,0.01,1.006
upper_shadow_pct,2016,1.5,high,28,1.31,716.0,1060,0.68,1.172,-232.0,0.24,152.0,476,0.31,1.031,1536,868.0,0.56,1.096
upper_shadow_pct,2016,1.5,low,4,-2.34,-791.0,2515,-0.31,0.828,-907.0,-1.04,-415.0,1097,-0.38,0.908,3612,-1206.0,-0.33,0.868
upper_shadow_pct,2016,1.5,low,28,-1.93,-1055.0,1060,-1.0,0.791,-1171.0,-0.47,-304.0,476,-0.63,0.941,1536,-1359.0,-0.88,0.866
upper_shadow_pct,2016,2.5,high,4,0.23,36.0,514,0.07,1.042,-82.0,-0.32,-60.0,239,-0.25,0.941,753,-24.0,-0.03,0.987
upper_shadow_pct,2016,2.5,high,28,0.79,258.0,403,0.64,1.158,-199.0,-0.58,-252.0,187,-1.35,0.875,590,6.0,0.01,1.002
upper_shadow_pct,2016,2.5,low,4,-1.29,-200.0,514,-0.39,0.796,-270.0,-0.09,-17.0,239,-0.07,0.983,753,-217.0,-0.29,0.89
upper_shadow_pct,2016,2.5,low,28,-1.18,-386.0,403,-0.96,0.803,-489.0,0.44,192.0,187,1.03,1.107,590,-195.0,-0.33,0.948
lower_shadow_pct,672,1.5,high,4,-1.34,-454.0,2566,-0.18,0.901,-495.0,-0.55,-232.0,1113,-0.21,0.951,3679,-686.0,-0.19,0.926
lower_shadow_pct,672,1.5,high,28,0.55,309.0,1093,0.27,1.066,-309.0,0.92,599.0,469,1.3,1.14,1562,908.0,0.58,1.102
lower_shadow_pct,672,1.5,low,4,-1.09,-368.0,2566,-0.14,0.919,-527.0,-0.29,-124.0,1113,-0.11,0.974,3679,-492.0,-0.13,0.947
lower_shadow_pct,672,1.5,low,28,-1.18,-658.0,1093,-0.59,0.87,-882.0,-1.15,-750.0,469,-1.62,0.85,1562,-1408.0,-0.9,0.86
lower_shadow_pct,672,2.5,high,4,-0.33,-46.0,470,-0.1,0.945,-93.0,0.26,40.0,177,0.23,1.063,647,-6.0,-0.01,0.996
lower_shadow_pct,672,2.5,high,28,-0.54,-183.0,366,-0.5,0.898,-286.0,1.63,503.0,143,3.52,1.524,509,320.0,0.63,1.116
lower_shadow_pct,672,2.5,low,4,-0.73,-104.0,470,-0.22,0.881,-157.0,-0.63,-97.0,177,-0.55,0.863,647,-201.0,-0.31,0.873
lower_shadow_pct,672,2.5,low,28,0.19,66.0,366,0.18,1.04,-288.0,-1.78,-549.0,143,-3.84,0.632,509,-483.0,-0.95,0.847
lower_shadow_pct,2016,1.5,high,4,-1.19,-394.0,2527,-0.16,0.913,-462.0,-0.25,-106.0,1123,-0.09,0.978,3650,-500.0,-0.14,0.946
lower_shadow_pct,2016,1.5,high,28,0.49,268.0,1075,0.24,1.058,-302.0,0.91,596.0,469,1.29,1.14,1544,864.0,0.56,1.098
lower_shadow_pct,2016,1.5,low,4,-1.25,-414.0,2527,-0.16,0.909,-575.0,-0.59,-253.0,1123,-0.23,0.947,3650,-668.0,-0.18,0.929
lower_shadow_pct,2016,1.5,low,28,-1.12,-612.0,1075,-0.56,0.877,-798.0,-1.14,-746.0,469,-1.61,0.849,1544,-1358.0,-0.88,0.863
lower_shadow_pct,2016,2.5,high,4,-0.92,-132.0,461,-0.29,0.849,-185.0,-0.5,-84.0,181,-0.46,0.887,642,-216.0,-0.34,0.866
lower_shadow_pct,2016,2.5,high,28,-0.56,-190.0,363,-0.52,0.89,-341.0,0.85,298.0,145,2.06,1.251,508,108.0,0.21,1.037
lower_shadow_pct,2016,2.5,low,4,-0.11,-15.0,461,-0.03,0.981,-127.0,0.15,26.0,181,0.14,1.038,642,10.0,0.02,1.007
lower_shadow_pct,2016,2.5,low,28,0.22,74.0,363,0.2,1.047,-312.0,-0.98,-344.0,145,-2.38,0.772,508,-270.0,-0.53,0.913
hl_range_pct,672,1.5,high,4,-0.5,-185.0,1350,-0.14,0.951,-468.0,-1.4,-739.0,634,-1.17,0.842,1984,-924.0,-0.47,0.891
hl_range_pct,672,1.5,high,28,0.29,153.0,640,0.25,1.043,-375.0,0.6,387.0,311,1.23,1.105,951,541.0,0.57,1.074
hl_range_pct,672,1.5,low,4,-0.67,-247.0,1350,-0.18,0.936,-405.0,1.02,536.0,634,0.85,1.132,1984,289.0,0.15,1.037
hl_range_pct,672,1.5,low,28,-0.69,-358.0,640,-0.57,0.908,-509.0,-0.76,-487.0,311,-1.55,0.882,951,-845.0,-0.89,0.895
hl_range_pct,672,2.5,high,4,-0.86,-253.0,671,-0.38,0.882,-421.0,-1.58,-706.0,276,-2.56,0.744,947,-959.0,-1.01,0.804
hl_range_pct,672,2.5,high,28,-0.48,-210.0,420,-0.5,0.92,-449.0,0.04,24.0,181,0.13,1.009,601,-186.0,-0.31,0.965
hl_range_pct,672,2.5,low,4,0.13,38.0,671,0.06,1.019,-255.0,1.39,618.0,276,2.24,1.294,947,656.0,0.69,1.16
hl_range_pct,672,2.5,low,28,0.17,75.0,420,0.18,1.031,-313.0,-0.14,-82.0,181,-0.45,0.97,601,-7.0,-0.01,0.999
hl_range_pct,2016,1.5,high,4,-0.99,-368.0,1325,-0.28,0.904,-547.0,-1.07,-591.0,597,-0.99,0.872,1922,-959.0,-0.5,0.887
hl_range_pct,2016,1.5,high,28,0.43,223.0,621,0.36,1.064,-400.0,0.65,442.0,290,1.52,1.126,911,666.0,0.73,1.095
hl_range_pct,2016,1.5,low,4,-0.15,-56.0,1325,-0.04,0.985,-357.0,0.72,400.0,597,0.67,1.097,1922,344.0,0.18,1.044
hl_range_pct,2016,1.5,low,28,-0.81,-422.0,621,-0.68,0.89,-529.0,-0.79,-535.0,290,-1.84,0.867,911,-957.0,-1.05,0.878
hl_range_pct,2016,2.5,high,4,-0.03,-9.0,647,-0.01,0.995,-358.0,-1.49,-708.0,291,-2.43,0.769,938,-717.0,-0.76,0.859
hl_range_pct,2016,2.5,high,28,0.09,37.0,400,0.09,1.016,-414.0,0.29,177.0,171,1.04,1.066,571,214.0,0.37,1.042
hl_range_pct,2016,2.5,low,4,-0.67,-198.0,647,-0.31,0.906,-303.0,1.29,614.0,291,2.11,1.255,938,417.0,0.44,1.092
hl_range_pct,2016,2.5,low,28,-0.38,-165.0,400,-0.41,0.933,-375.0,-0.38,-232.0,171,-1.36,0.92,571,-397.0,-0.69,0.926
gap_pct,672,1.5,high,4,-0.61,-60.0,102,-0.58,0.794,-106.0,-0.58,-126.0,57,-2.21,0.797,159,-186.0,-1.17,0.796
gap_pct,672,1.5,high,28,-1.05,-181.0,86,-2.11,0.698,-251.0,-1.06,-395.0,46,-8.58,0.621,132,-576.0,-4.36,0.649
gap_pct,672,1.5,low,4,0.28,27.0,102,0.26,1.109,-59.0,0.5,108.0,57,1.89,1.215,159,135.0,0.85,1.18
gap_pct,672,1.5,low,28,0.89,154.0,86,1.79,1.357,-136.0,1.02,380.0,46,8.26,1.582,132,534.0,4.04,1.493
gap_pct,672,2.5,high,4,-1.29,-79.0,35,-2.25,0.446,-109.0,-2.57,-206.0,15,-13.7,0.173,50,-284.0,-5.69,0.272
gap_pct,672,2.5,high,28,-1.56,-168.0,35,-4.81,0.434,-185.0,-1.04,-210.0,15,-13.99,0.439,50,-378.0,-7.57,0.437
gap_pct,672,2.5,low,4,1.11,68.0,35,1.93,1.99,-46.0,2.52,201.0,15,13.38,5.604,50,268.0,5.37,3.398
gap_pct,672,2.5,low,28,1.45,157.0,35,4.49,2.176,-67.0,1.01,205.0,15,13.67,2.235,50,362.0,7.25,2.209
gap_pct,2016,1.5,high,4,-1.26,-89.0,53,-1.69,0.543,-113.0,-1.02,-141.0,40,-3.53,0.705,93,-230.0,-2.48,0.658
gap_pct,2016,1.5,high,28,-1.82,-234.0,50,-4.68,0.396,-235.0,-1.64,-521.0,36,-14.47,0.398,86,-755.0,-8.78,0.398
gap_pct,2016,1.5,low,4,1.02,72.0,53,1.37,1.639,-52.0,0.93,128.0,40,3.21,1.375,93,201.0,2.16,1.441
gap_pct,2016,1.5,low,28,1.69,218.0,50,4.36,2.365,-69.0,1.61,509.0,36,14.15,2.457,86,727.0,8.46,2.428
gap_pct,2016,2.5,high,4,-1.02,-47.0,24,-1.94,0.566,-64.0,-1.37,-184.0,19,-9.69,0.34,43,-231.0,-5.36,0.403
gap_pct,2016,2.5,high,28,-1.27,-97.0,24,-4.05,0.423,-121.0,-2.19,-591.0,16,-36.91,0.124,40,-688.0,-17.2,0.184
gap_pct,2016,2.5,low,4,0.85,39.0,24,1.62,1.604,-33.0,1.33,178.0,19,9.37,2.842,43,217.0,5.04,2.348
gap_pct,2016,2.5,low,28,1.17,90.0,24,3.73,2.212,-40.0,2.17,585.0,16,36.59,7.896,40,675.0,16.88,5.251
clv,672,1.5,high,4,-1.05,-381.0,2823,-0.13,0.925,-492.0,-0.54,-251.0,1246,-0.2,0.954,4069,-632.0,-0.16,0.94
