key,method,N,W,T,V,H,regime,session,exit,pnl,sharpe,trades,avg
vote:N5:W288:T1.5:V2:H6:trend_adx:new_york:stop1_5,vote,5,288,1.5,2,6,trend_adx,new_york,stop1_5,213.48999999999998,0.6212864196378228,1449,0.29467218771566595
vote:N5:W288:T1.5:V2:H6:trend_adx:new_york:trail2,vote,5,288,1.5,2,6,trend_adx,new_york,trail2,213.48999999999998,0.6212864196378228,1449,0.29467218771566595
vote:N5:W288:T1.5:V2:H6:trend_adx:overlap:none,vote,5,288,1.5,2,6,trend_adx,overlap,none,215.13000000000721,0.84769220271841,851,0.50559341950648
vote:N5:W288:T1.5:V2:H6:trend_adx:overlap:stop1_5,vote,5,288,1.5,2,6,trend_adx,overlap,stop1_5,215.13000000000721,0.84769220271841,851,0.50559341950648
vote:N5:W288:T1.5:V2:H6:trend_adx:overlap:trail2,vote,5,288,1.5,2,6,trend_adx,overlap,trail2,215.13000000000721,0.84769220271841,851,0.50559341950648
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:all:none,vote,5,288,1.5,2,6,trend_not_choppy,all,none,-69.4299999999892,-0.1239897967014135,6150,-0.022578861788614377
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:all:stop1_5,vote,5,288,1.5,2,6,trend_not_choppy,all,stop1_5,-69.4299999999892,-0.1239897967014135,6150,-0.022578861788614377
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:all:trail2,vote,5,288,1.5,2,6,trend_not_choppy,all,trail2,-69.4299999999892,-0.1239897967014135,6150,-0.022578861788614377
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:london:none,vote,5,288,1.5,2,6,trend_not_choppy,london,none,13.470000000022175,0.03459071565709345,2764,0.009746743849509533
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:london:stop1_5,vote,5,288,1.5,2,6,trend_not_choppy,london,stop1_5,13.470000000022175,0.03459071565709345,2764,0.009746743849509533
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:london:trail2,vote,5,288,1.5,2,6,trend_not_choppy,london,trail2,13.470000000022175,0.03459071565709345,2764,0.009746743849509533
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:new_york:none,vote,5,288,1.5,2,6,trend_not_choppy,new_york,none,91.17000000000476,0.2342760328261792,2121,0.08596888260255046
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:new_york:stop1_5,vote,5,288,1.5,2,6,trend_not_choppy,new_york,stop1_5,91.17000000000476,0.2342760328261792,2121,0.08596888260255046
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:new_york:trail2,vote,5,288,1.5,2,6,trend_not_choppy,new_york,trail2,91.17000000000476,0.2342760328261792,2121,0.08596888260255046
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:overlap:none,vote,5,288,1.5,2,6,trend_not_choppy,overlap,none,77.25000000000944,0.27252246902407634,1025,0.1507317073170916
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:overlap:stop1_5,vote,5,288,1.5,2,6,trend_not_choppy,overlap,stop1_5,77.25000000000944,0.27252246902407634,1025,0.1507317073170916
vote:N5:W288:T1.5:V2:H6:trend_not_choppy:overlap:trail2,vote,5,288,1.5,2,6,trend_not_choppy,overlap,trail2,77.25000000000944,0.27252246902407634,1025,0.1507317073170916
vote:N5:W288:T1.5:V2:H12:none:all:none,vote,5,288,1.5,2,12,none,all,none,-1889.5499999999665,-1.3514476800235307,17011,-0.22215625183704268
vote:N5:W288:T1.5:V2:H12:none:all:stop1_5,vote,5,288,1.5,2,12,none,all,stop1_5,-1889.5499999999665,-1.3514476800235307,17011,-0.22215625183704268
vote:N5:W288:T1.5:V2:H12:none:all:trail2,vote,5,288,1.5,2,12,none,all,trail2,-1889.5499999999665,-1.3514476800235307,17011,-0.22215625183704268
vote:N5:W288:T1.5:V2:H12:none:london:none,vote,5,288,1.5,2,12,none,london,none,-948.5799999999829,-0.8968334816692453,8313,-0.22821604715505422
vote:N5:W288:T1.5:V2:H12:none:london:stop1_5,vote,5,288,1.5,2,12,none,london,stop1_5,-948.5799999999829,-0.8968334816692453,8313,-0.22821604715505422
vote:N5:W288:T1.5:V2:H12:none:london:trail2,vote,5,288,1.5,2,12,none,london,trail2,-948.5799999999829,-0.8968334816692453,8313,-0.22821604715505422
vote:N5:W288:T1.5:V2:H12:none:new_york:none,vote,5,288,1.5,2,12,none,new_york,none,-949.9399999999875,-0.9484462937061537,6421,-0.2958853761096364
vote:N5:W288:T1.5:V2:H12:none:new_york:stop1_5,vote,5,288,1.5,2,12,none,new_york,stop1_5,-949.9399999999875,-0.9484462937061537,6421,-0.2958853761096364
vote:N5:W288:T1.5:V2:H12:none:new_york:trail2,vote,5,288,1.5,2,12,none,new_york,trail2,-949.9399999999875,-0.9484462937061537,6421,-0.2958853761096364
vote:N5:W288:T1.5:V2:H12:none:overlap:none,vote,5,288,1.5,2,12,none,overlap,none,-838.3899999999917,-0.9782034268591215,3537,-0.47406841956459805
vote:N5:W288:T1.5:V2:H12:none:overlap:stop1_5,vote,5,288,1.5,2,12,none,overlap,stop1_5,-838.3899999999917,-0.9782034268591215,3537,-0.47406841956459805
vote:N5:W288:T1.5:V2:H12:none:overlap:trail2,vote,5,288,1.5,2,12,none,overlap,trail2,-838.3899999999917,-0.9782034268591215,3537,-0.47406841956459805
vote:N5:W288:T1.5:V2:H12:trend:all:none,vote,5,288,1.5,2,12,trend,all,none,-838.7999999999955,-0.8972519739220367,8737,-0.19201098775323236
vote:N5:W288:T1.5:V2:H12:trend:all:stop1_5,vote,5,288,1.5,2,12,trend,all,stop1_5,-838.7999999999955,-0.8972519739220367,8737,-0.19201098775323236
vote:N5:W288:T1.5:V2:H12:trend:all:trail2,vote,5,288,1.5,2,12,trend,all,trail2,-838.7999999999955,-0.8972519739220367,8737,-0.19201098775323236
vote:N5:W288:T1.5:V2:H12:trend:london:none,vote,5,288,1.5,2,12,trend,london,none,-538.6899999999953,-0.7919251577603239,3951,-0.27268539610225023
vote:N5:W288:T1.5:V2:H12:trend:london:stop1_5,vote,5,288,1.5,2,12,trend,london,stop1_5,-538.6899999999953,-0.7919251577603239,3951,-0.27268539610225023
vote:N5:W288:T1.5:V2:H12:trend:london:trail2,vote,5,288,1.5,2,12,trend,london,trail2,-538.6899999999953,-0.7919251577603239,3951,-0.27268539610225023
vote:N5:W288:T1.5:V2:H12:trend:new_york:none,vote,5,288,1.5,2,12,trend,new_york,none,-98.81999999999522,-0.14880452445956419,3127,-0.06320434921649838
vote:N5:W288:T1.5:V2:H12:trend:new_york:stop1_5,vote,5,288,1.5,2,12,trend,new_york,stop1_5,-98.81999999999522,-0.14880452445956419,3127,-0.06320434921649838
vote:N5:W288:T1.5:V2:H12:trend:new_york:trail2,vote,5,288,1.5,2,12,trend,new_york,trail2,-98.81999999999522,-0.14880452445956419,3127,-0.06320434921649838
vote:N5:W288:T1.5:V2:H12:trend:overlap:none,vote,5,288,1.5,2,12,trend,overlap,none,-110.79999999999447,-0.2066318931691511,1557,-0.14232498394347395
vote:N5:W288:T1.5:V2:H12:trend:overlap:stop1_5,vote,5,288,1.5,2,12,trend,overlap,stop1_5,-110.79999999999447,-0.2066318931691511,1557,-0.14232498394347395
vote:N5:W288:T1.5:V2:H12:trend:overlap:trail2,vote,5,288,1.5,2,12,trend,overlap,trail2,-110.79999999999447,-0.2066318931691511,1557,-0.14232498394347395
vote:N5:W288:T1.5:V2:H12:trend_adx:all:none,vote,5,288,1.5,2,12,trend_adx,all,none,-478.6399999999936,-0.7130445060802054,3873,-0.24716757035889161
vote:N5:W288:T1.5:V2:H12:trend_adx:all:stop1_5,vote,5,288,1.5,2,12,trend_adx,all,stop1_5,-478.6399999999936,-0.7130445060802054,3873,-0.24716757035889161
vote:N5:W288:T1.5:V2:H12:trend_adx:all:trail2,vote,5,288,1.5,2,12,trend_adx,all,trail2,-478.6399999999936,-0.7130445060802054,3873,-0.24716757035889161
vote:N5:W288:T1.5:V2:H12:trend_adx:london:none,vote,5,288,1.5,2,12,trend_adx,london,none,-245.15999999999354,-0.5448217952464902,1867,-0.2626245313336835
vote:N5:W288:T1.5:V2:H12:trend_adx:london:stop1_5,vote,5,288,1.5,2,12,trend_adx,london,stop1_5,-245.15999999999354,-0.5448217952464902,1867,-0.2626245313336835
vote:N5:W288:T1.5:V2:H12:trend_adx:london:trail2,vote,5,288,1.5,2,12,trend_adx,london,trail2,-245.15999999999354,-0.5448217952464902,1867,-0.2626245313336835
vote:N5:W288:T1.5:V2:H12:trend_adx:new_york:none,vote,5,288,1.5,2,12,trend_adx,new_york,none,143.1300000000058,0.31950691987607144,1296,0.22087962962963856
vote:N5:W288:T1.5:V2:H12:trend_adx:new_york:stop1_5,vote,5,288,1.5,2,12,trend_adx,new_york,stop1_5,143.1300000000058,0.31950691987607144,1296,0.22087962962963856
vote:N5:W288:T1.5:V2:H12:trend_adx:new_york:trail2,vote,5,288,1.5,2,12,trend_adx,new_york,trail2,143.1300000000058,0.31950691987607144,1296,0.22087962962963856
vote:N5:W288:T1.5:V2:H12:trend_adx:overlap:none,vote,5,288,1.5,2,12,trend_adx,overlap,none,157.3700000000053,0.46954746589775986,767,0.41035202086050926
vote:N5:W288:T1.5:V2:H12:trend_adx:overlap:stop1_5,vote,5,288,1.5,2,12,trend_adx,overlap,stop1_5,157.3700000000053,0.46954746589775986,767,0.41035202086050926
vote:N5:W288:T1.5:V2:H12:trend_adx:overlap:trail2,vote,5,288,1.5,2,12,trend_adx,overlap,trail2,157.3700000000053,0.46954746589775986,767,0.41035202086050926
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:all:none,vote,5,288,1.5,2,12,trend_not_choppy,all,none,305.9799999999932,0.4166360901210163,5604,0.10920057102069708
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:all:stop1_5,vote,5,288,1.5,2,12,trend_not_choppy,all,stop1_5,305.9799999999932,0.4166360901210163,5604,0.10920057102069708
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:all:trail2,vote,5,288,1.5,2,12,trend_not_choppy,all,trail2,305.9799999999932,0.4166360901210163,5604,0.10920057102069708
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:london:none,vote,5,288,1.5,2,12,trend_not_choppy,london,none,35.80000000000567,0.0703921848906794,2467,0.02902310498581732
vote:N5:W288:T1.5:V2:H12:trend_not_choppy:london:stop1_5,vote,5,288,1.5,2,12,trend_not_choppy,london,stop1_5,35.80000000000567,0.0703921848906794,2467,0.02902310498581732
