pair,exit,pnl,sharpe,maxdd,trades,wr,pf,avg_hold,med_hold,worst,n_trail,n_stop,n_be,n_tp,n_sess
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,stop1_5,336.68,0.528,-283.91,536,32.1,1.145,17.5,8,-48.49,0,325,0,0,1
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,trail1,-1321.84,-9.062,-1323.17,536,4.3,0.019,0.6,0,-35.11,531,0,0,0,0
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,trail1_5,-1422.81,-6.651,-1432.65,536,13.2,0.123,2.3,1,-35.11,514,0,0,0,0
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,trail2,-1345.96,-4.412,-1358.64,536,23.5,0.283,5.0,3,-39.52,485,0,0,0,0
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,trailtp05,-1326.68,-4.682,-1368.66,536,23.5,0.092,7.7,2,-41.9,421,0,0,0,1
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,trailtp10,-1333.41,-4.51,-1375.39,536,20.3,0.1,8.0,3,-41.9,419,0,0,0,1
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,be10,-442.28,-1.276,-661.57,536,9.7,0.569,11.5,4,-41.9,0,0,377,0,1
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,be15,125.43,0.252,-367.26,536,20.9,1.088,19.5,11,-41.9,0,0,270,0,3
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,stop1_5_trail2,-1280.69,-4.319,-1293.37,536,23.5,0.293,4.8,3,-39.52,314,174,0,0,0
long:plus_di_14:W6048:T2:H84:trend:new_york + short:close_vs_ema200:W6048:T1.5:H12:none:overlap,be10_trail3,-958.53,-3.51,-1083.95,536,10.6,0.327,5.8,3,-49.84,176,0,295,0,0
