timestamp,datetime,open,high,low,close,volume
-3121407238,"1871-02-01 14:26:02",4.5,4.5,4.5,4.5,0
-3118988038,"1871-03-01 14:26:02",4.61,4.61,4.61,4.61,0
-3113717638,"1871-05-01 14:26:02",4.86,4.86,4.86,4.86,0
-3111039238,"1871-06-01 14:26:02",4.82,4.82,4.82,4.82,0
-3105768838,"1871-08-01 14:26:02",4.79,4.79,4.79,4.79,0
-3103090438,"1871-09-01 14:26:02",4.84,4.84,4.84,4.84,0
-3097820038,"1871-11-01 14:26:02",4.64,4.64,4.64,4.64,0
-3095228038,"1871-12-01 14:26:02",4.74,4.74,4.74,4.74,0
-3092549638,"1872-01-01 14:26:02",4.86,4.86,4.86,4.86,0
-3089871238,"1872-02-01 14:26:02",4.88,4.88,4.88,4.88,0
-3087365638,"1872-03-01 14:26:02",5.04,5.04,5.04,5.04,0
-3084687238,"1872-04-01 14:26:02",5.18,5.18,5.18,5.18,0
-3082095238,"1872-05-01 14:26:02",5.18,5.18,5.18,5.18,0
-3076824838,"1872-07-01 14:26:02",5.1,5.1,5.1,5.1,0
-3074146438,"1872-08-01 14:26:02",5.04,5.04,5.04,5.04,0
-3068876038,"1872-10-01 14:26:02",4.97,4.97,4.97,4.97,0
-3066197638,"1872-11-01 14:26:02",4.95,4.95,4.95,4.95,0
-3060927238,"1873-01-01 14:26:02",5.11,5.11,5.11,5.11,0
-3053151238,"1873-04-01 14:26:02",5.04,5.04,5.04,5.04,0
-3050559238,"1873-05-01 14:26:02",5.05,5.05,5.05,5.05,0
-3045288838,"1873-07-01 14:26:02",4.97,4.97,4.97,4.97,0
-3042610438,"1873-08-01 14:26:02",4.97,4.97,4.97,4.97,0
-3039932038,"1873-09-01 14:26:02",4.59,4.59,4.59,4.59,0
-3037340038,"1873-10-01 14:26:02",4.19,4.19,4.19,4.19,0
-3032069638,"1873-12-01 14:26:02",4.42,4.42,4.42,4.42,0
-3029391238,"1874-01-01 14:26:02",4.66,4.66,4.66,4.66,0
-3021615238,"1874-04-01 14:26:02",4.6,4.6,4.6,4.6,0
-3019023238,"1874-05-01 14:26:02",4.48,4.48,4.48,4.48,0
-3016344838,"1874-06-01 14:26:02",4.46,4.46,4.46,4.46,0
-3013752838,"1874-07-01 14:26:02",4.46,4.46,4.46,4.46,0
-3008396038,"1874-09-01 14:26:02",4.54,4.54,4.54,4.54,0
-3005804038,"1874-10-01 14:26:02",4.53,4.53,4.53,4.53,0
-3000533638,"1874-12-01 14:26:02",4.54,4.54,4.54,4.54,0
-2997855238,"1875-01-01 14:26:02",4.54,4.54,4.54,4.54,0
-2995176838,"1875-02-01 14:26:02",4.53,4.53,4.53,4.53,0
-2992757638,"1875-03-01 14:26:02",4.59,4.59,4.59,4.59,0
-2990079238,"1875-04-01 14:26:02",4.65,4.65,4.65,4.65,0
-2984808838,"1875-06-01 14:26:02",4.38,4.38,4.38,4.38,0
-2982216838,"1875-07-01 14:26:02",4.39,4.39,4.39,4.39,0
-2976860038,"1875-09-01 14:26:02",4.37,4.37,4.37,4.37,0
-2974268038,"1875-10-01 14:26:02",4.3,4.3,4.3,4.3,0
-2971589638,"1875-11-01 14:26:02",4.37,4.37,4.37,4.37,0
-2968997638,"1875-12-01 14:26:02",4.37,4.37,4.37,4.37,0
