timestamp,datetime_utc,open,high,low,close
1694580300,2023-09-13 04:45:00,1909.49,1909.64,1909.42,1909.64
1694581200,2023-09-13 05:00:00,1909.64,1910.34,1909.44,1910.34
1694582100,2023-09-13 05:15:00,1910.35,1911.78,1910.31,1911.6
1694583000,2023-09-13 05:30:00,1911.59,1911.73,1910.83,1911.21
1694583900,2023-09-13 05:45:00,1911.25,1911.96,1911.2,1911.62
1694584800,2023-09-13 06:00:00,1911.63,1911.96,1910.86,1910.91
1694585700,2023-09-13 06:15:00,1910.91,1911.19,1910.71,1910.86
1694586600,2023-09-13 06:30:00,1910.87,1912.64,1910.23,1910.34
1694587500,2023-09-13 06:45:00,1910.25,1910.45,1909.26,1910.22
1694588400,2023-09-13 07:00:00,1910.26,1910.51,1909.31,1910.08
1694589300,2023-09-13 07:15:00,1910.09,1910.23,1909.13,1909.37
1694590200,2023-09-13 07:30:00,1909.37,1910.44,1908.26,1910.18
1694591100,2023-09-13 07:45:00,1910.19,1910.39,1909.38,1909.94
1694592000,2023-09-13 08:00:00,1909.85,1910.67,1909.29,1910.29
1694592900,2023-09-13 08:15:00,1910.29,1911.01,1909.8,1910.86
1694593800,2023-09-13 08:30:00,1910.87,1911.4,1910.37,1910.95
1694594700,2023-09-13 08:45:00,1910.95,1912.14,1910.43,1912.02
1694595600,2023-09-13 09:00:00,1912.02,1912.3,1911.17,1911.87
1694596500,2023-09-13 09:15:00,1911.88,1912.45,1911.45,1912.07
1694597400,2023-09-13 09:30:00,1912.08,1912.56,1912.01,1912.31
1694598300,2023-09-13 09:45:00,1912.32,1912.48,1911.77,1912.19
1694599200,2023-09-13 10:00:00,1912.18,1912.19,1910.76,1910.96
1694600100,2023-09-13 10:15:00,1910.91,1911.7,1910.88,1911.67
1694601000,2023-09-13 10:30:00,1911.67,1912.44,1911.2,1911.21
1694601900,2023-09-13 10:45:00,1911.2,1911.84,1911.03,1911.21
1694602800,2023-09-13 11:00:00,1911.2,1911.51,1910.93,1911.49
1694603700,2023-09-13 11:15:00,1911.5,1911.71,1910.81,1911.47
1694604600,2023-09-13 11:30:00,1911.48,1911.81,1911.29,1911.39
1694605500,2023-09-13 11:45:00,1911.36,1912.59,1911.36,1912.57
1694606400,2023-09-13 12:00:00,1912.61,1913.07,1911.56,1911.74
1694607300,2023-09-13 12:15:00,1911.75,1912.23,1911.37,1912.04
1694608200,2023-09-13 12:30:00,1912.03,1913.01,1912.0,1912.34
1694609100,2023-09-13 12:45:00,1912.33,1912.87,1912.1,1912.31
1694610000,2023-09-13 13:00:00,1912.37,1912.53,1910.56,1910.77
1694610900,2023-09-13 13:15:00,1910.82,1912.66,1909.64,1911.44
1694611800,2023-09-13 13:30:00,1911.35,1913.6,1905.55,1910.58
